"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15727","E2E User Role Popup And Purchase_TestData 1","chromium","2026-01-10","passed","2026-01-10","","TC03_E2E_Verify_User_Role_Popup_And_Purchase.spec.js","",""
"","14714","E2E Successful Login And Purchase_TestData 1","chromium","2026-01-10","passed","2026-01-10","","TC01_E2E_Successful_Login_And_Purchase.spec.js","",""
"","27379","E2E Login With Invalid Credentials Then Success_TestData 2","webkit","2026-01-10","passed","2026-01-10","","TC02_E2E_Login_With_Invalid_Credentials_Then_Success.spec.js","",""
"","18437","E2E Successful Login And Purchase_TestData 1","webkit","2026-01-10","passed","2026-01-10","","TC01_E2E_Successful_Login_And_Purchase.spec.js","",""
"","27289","E2E Login With Invalid Credentials Then Success_TestData 1","webkit","2026-01-10","passed","2026-01-10","","TC02_E2E_Login_With_Invalid_Credentials_Then_Success.spec.js","",""
"","21157","E2E Successful Login And Purchase_TestData 1","firefox","2026-01-10","passed","2026-01-10","","TC01_E2E_Successful_Login_And_Purchase.spec.js","",""
"","15969","E2E User Role Popup And Purchase_TestData 2","chromium","2026-01-10","passed","2026-01-10","","TC03_E2E_Verify_User_Role_Popup_And_Purchase.spec.js","",""
"","24468","E2E Successful Login And Purchase_TestData 2","firefox","2026-01-10","passed","2026-01-10","","TC01_E2E_Successful_Login_And_Purchase.spec.js","",""
"","23177","E2E Login With Invalid Credentials Then Success_TestData 2","firefox","2026-01-10","passed","2026-01-10","","TC02_E2E_Login_With_Invalid_Credentials_Then_Success.spec.js","",""
"","16464","E2E Login With Invalid Credentials Then Success_TestData 1","chromium","2026-01-10","passed","2026-01-10","","TC02_E2E_Login_With_Invalid_Credentials_Then_Success.spec.js","",""
"","14070","E2E User Role Popup And Purchase_TestData 1","firefox","2026-01-10","passed","2026-01-10","","TC03_E2E_Verify_User_Role_Popup_And_Purchase.spec.js","",""
"","21679","E2E Successful Login And Purchase_TestData 2","webkit","2026-01-10","passed","2026-01-10","","TC01_E2E_Successful_Login_And_Purchase.spec.js","",""
"","15330","E2E Successful Login And Purchase_TestData 2","chromium","2026-01-10","passed","2026-01-10","","TC01_E2E_Successful_Login_And_Purchase.spec.js","",""
"","17127","E2E Login With Invalid Credentials Then Success_TestData 2","chromium","2026-01-10","passed","2026-01-10","","TC02_E2E_Login_With_Invalid_Credentials_Then_Success.spec.js","",""
"","18159","E2E User Role Popup And Purchase_TestData 2","webkit","2026-01-10","passed","2026-01-10","","TC03_E2E_Verify_User_Role_Popup_And_Purchase.spec.js","",""
"","13322","E2E User Role Popup And Purchase_TestData 2","firefox","2026-01-10","passed","2026-01-10","","TC03_E2E_Verify_User_Role_Popup_And_Purchase.spec.js","",""
"","21809","E2E User Role Popup And Purchase_TestData 1","webkit","2026-01-10","passed","2026-01-10","","TC03_E2E_Verify_User_Role_Popup_And_Purchase.spec.js","",""
"","19123","E2E Login With Invalid Credentials Then Success_TestData 1","firefox","2026-01-10","passed","2026-01-10","","TC02_E2E_Login_With_Invalid_Credentials_Then_Success.spec.js","",""
